Source Link,Img Link,Pet ID,Gender,Breed,Color,Age,Kennel ID,Kennel Status,Description,Name
https://www.utahhumane.org/node/18782,https://petharbor.com/get_image.asp?RES=Detail&ID=A109733&LOCATION=UTAH,A109733,Male,Guinea Pig,White,1 YEAR,ADP SM ANI,AVAILABLE,null,EINSTEIN
https://www.utahhumane.org/node/18056,https://petharbor.com/get_image.asp?RES=Detail&ID=A109410&LOCATION=UTAH,A109410,Male,Domestic Shorthair,BRN TABBY,8 YEARS,CA17,AVAILABLE,"I'll be forever yours & you'll be forever mine; I'm the ""Faithful Feline""! I'll be your shadow & your very best friend. I'll frolic at your feet & we can take naps in the sunshine. As your resident Velcro cat, I'm happiest just being by your side.",TIBERIUS
https://www.utahhumane.org/node/17861,https://petharbor.com/get_image.asp?RES=Detail&ID=A107272&LOCATION=UTAH,A109733,Male,Great Pyrenees,GOLD,11 MONTHS,DU12,AVAILABLE,"The Pets in Progress program is HSU's initiative to successfully place animals who are currently working on some behavioral challenges. Best with experienced pet owners, they require a bit of extra training as they work towards becoming the best companions they can be. At HSU, we know they are well worth the effort!

What I have to offer:

- I’m extremely playful & affectionate with people & dogs! 
- I have loads of energy; I love to run & enjoy playing fetch.
- I already know cues to sit & lay down!

What I’m working on:

- Impulse control: I don’t know my own size or strength & tend to get a little carried away during playtime!
- Basic manners: I have some training under my belt already, but there is always room for improvement!

What I’m looking for:

- A very active household with experienced owners & no kids under 13 years of age. 
- Friendly, active canine companions who are similar to my own size & energy level to help keep me busy!
- A secure yard, with supervision outside. 
- Ample mental stimulation & lots of daily exercise!
- Ongoing positive reinforcement training to help with impulse control & general manners.

Think this might be the right pet for you? Talk to a staff member today!

*Please note that Pets in Progress adoptions are approved by HSU’s Behavior Department.*",GUSTER
https://www.utahhumane.org/node/18302,https://petharbor.com/get_image.asp?RES=Detail&ID=A109101&LOCATION=UTAH,A109101,Male,Domestic Longhair,White,7 YEARS,CA17,AVAILABLE,"""Couch Cat"" is the name & relaxing is my game! When I'm not soaking up the sun or enjoying a snack, you'll find me cuddled up on the couch. I'll be happiest just relaxing with you & getting some love in between nap sessions!",ROCKY
https://www.utahhumane.org/node/17940,https://petharbor.com/get_image.asp?RES=Detail&ID=A108528&LOCATION=UTAH,A108528,Female,Domestic Shorthair,Black,12 YEARS,CC27,AVAILABLE,"""Couch Cat"" is the name & relaxing is my game! When I'm not soaking up the sun or enjoying a snack, you'll find me cuddled up on the couch. I'll be happiest just relaxing with you & getting some love in between nap sessions!",WHISKERS
https://www.utahhumane.org/node/17801,https://petharbor.com/get_image.asp?RES=Detail&ID=A066872&LOCATION=UTAH,A066872,Male,Shorthaired Rabbit,White,4 YEARS,BB3,AVAILABLE,"With eyes like these it’s hard not to fall in love. I’m on the search for my perfect home that will spoil me silly with treats, love, & of course a forever family! Come meet me today!",ZEPPO
https://www.utahhumane.org/node/17883,https://petharbor.com/get_image.asp?RES=Detail&ID=A107661&LOCATION=UTAH,A107661,Female,Domestic Shorthair,Black,5 YEARS,CA12,AVAILABLE,"The saying goes ""those who have a cat have no need for sculpture."" I'm a confident cat who wants to be the ruler of your kingdom. I love to be loved, but on my terms. As a ""Holier Than Meow"", my favorite past time is simply being visually admired.",BOO BOO
https://www.utahhumane.org/node/18007,https://petharbor.com/get_image.asp?RES=Detail&ID=A109031&LOCATION=UTAH,A109031,Female,Domestic Longhair,TORTIE,6 YEARS,CA17,AVAILABLE,"From the shadows of the night a ""Mystery Meow"" will emerge to steal your heart! Most of us came here with no history, but some of us are just timid & our personalities have yet to shine. Give me a chance & I'll show you just how amazing I can be!",SUMMERS
https://www.utahhumane.org/node/18502,https://petharbor.com/get_image.asp?RES=Detail&ID=A098131&LOCATION=UTAH,A098131,Male,Australian Cattle Dog,RED TICK,2 YEARS,DU16,AVAILABLE,"The Pets in Progress program is HSU's initiative to successfully place animals who are currently working on some behavioral challenges. Best with experienced pet owners, they require a bit of extra training as they work towards becoming the best companions they can be. At HSU, we know they are well worth the effort!

What I have to offer:

- I already know cues to sit, lay down & shake!
- I’m already crate trained!
- I’m extremely intelligent & very athletic! I love to run & enjoy playing fetch.

What I’m working on:

- Impulse control: I have a lot of energy & can get a bit carried away when I’m frustrated.
- Resource guarding: I tend to be a bit greedy when it comes to my food, bones & toys.

What I’m looking for:

- A very active household with herding dog experienced owners & no kids under 13 years of age. 
- A secure yard, with supervision outside. (I’ve been known to be a bit of a Houdini!)
- Canine companions who are similar to my own size & energy level.
- Ample mental stimulation & lots of exercise.
- Ongoing positive reinforcement training to help with impulse control & resource guarding.

Think this might be the right pet for you? Talk to a staff member today!

*Please note that Pets in Progress adoptions are approved by HSU’s Behavior Department.*",KNOX
https://www.utahhumane.org/node/17814,https://petharbor.com/get_image.asp?RES=Detail&ID=A098110&LOCATION=UTAH,A098110,Male,Domestic Shorthair,Black,10 YEARS,CC40,AVAILABLE,"Never fear! ""Frisky Feline"" is here! Leaping from the highest heights, pouncing from rooftops & saving my humans from the evil red dot! Being a hero is hard work, but someone has to do it! I need plenty of play time to be the best friend I can be!",DIESEL
